name,avg_teams_made_tournament,avg_percent_made_tournament,avg_seed,avg_games_played,championships_won
Sun Belt Conference,1.125,0.09657634032634033,13.722222222222221,1.3333333333333333,0
Mid-Continent Conference,0.3125,0.11666666666666667,15.4,1.2,0
Summit League,0.6875,0.10858585858585859,13.454545454545455,1.0909090909090908,0
Southern Conference,1.0,0.08939393939393939,13.5,1.1875,0
Atlantic Sun Conference,1.0,0.10075757575757575,14.8125,1.25,0
Colonial Athletic Association,1.25,0.11366792929292929,11.7,1.7,0
Southland Conference,1.0,0.08392232767232767,14.5625,1.25,0
Ohio Valley Conference,1.0,0.09046717171717172,13.5625,1.25,0
Western Athletic Conference,1.3125,0.14600694444444445,11.857142857142858,1.2380952380952381,0
Conference USA,1.9375,0.14676339285714285,8.096774193548388,2.096774193548387,0
American Athletic Conference,0.9375,0.27545454545454545,6.733333333333333,1.9333333333333333,1
Big South Conference,1.0,0.10298295454545454,15.0625,1.25,0
Horizon League,1.1875,0.12569444444444444,11.631578947368421,2.0,0
Atlantic 10 Conference,3.1875,0.23290121336996336,8.313725490196079,1.803921568627451,0
Big Ten Conference,5.75,0.4832927489177489,5.858695652173913,2.489130434782609,0
Big East Conference,6.8125,0.5068824404761905,5.321100917431193,2.4311926605504586,6
Big 12 Conference,5.8125,0.53125,5.376344086021505,2.4086021505376345,1
Atlantic Coast Conference,5.8125,0.46556186868686866,5.032258064516129,2.6451612903225805,5
Missouri Valley Conference,1.75,0.17500000000000002,8.857142857142858,1.9642857142857142,0
Pacific-12 Conference,1.9375,0.36904761904761907,7.0,2.161290322580645,0
Southeastern Conference,4.8125,0.38095238095238093,6.35064935064935,2.4805194805194803,3
Mountain West Conference,2.5625,0.28377525252525254,8.463414634146341,1.4878048780487805,0
Big Sky Conference,1.0,0.10511363636363635,14.1875,1.0625,0
Big West Conference,1.0625,0.11631944444444445,13.705882352941176,1.2941176470588236,0
Northeast Conference,1.0,0.09138257575757576,15.6875,1.25,0
Metro Atlantic Athletic Conference,1.0625,0.10340909090909091,13.705882352941176,1.2352941176470589,0
Patriot League,1.0,0.1171875,14.0625,1.25,0
America East Conference,1.0,0.10972222222222222,14.875,1.25,0
Mid-American Conference,1.0,0.08213141025641026,12.75,1.3125,0
Mid-Eastern Athletic Conference,1.0,0.08336975524475525,15.6875,1.25,0
Ivy League,1.0,0.125,13.1875,1.3125,0
Pacific-10 Conference,2.5,0.4444444444444444,6.325,2.3,0
West Coast Conference,1.6875,0.19409722222222223,7.666666666666667,2.111111111111111,0
Southwest Athletic Conference,1.0,0.1,15.9375,1.125,0
