TeamID,TeamName,FirstD1Season,LastD1Season,Number of Tournaments,Number of Tournaments Overperform,Number of Tournaments Underperform,Number of Tournaments Expected Performance,Percent of Tournaments exceeded expectations,Percent of Tournaments met expectations,Percent of Tournaments under expectations
1101,Abilene Chr,2014,2019,NA,NA,NA,NA,NA,NA,NA
1102,Air Force,1985,2019,2,0,0,2,0.0,1.0,0.0
1103,Akron,1985,2019,3,0,0,3,0.0,1.0,0.0
1104,Alabama,1985,2019,6,3,1,2,0.5,0.3333333333333333,0.16666666666666666
1105,Alabama A&M,2000,2019,1,0,0,1,0.0,1.0,0.0
1106,Alabama St,1985,2019,3,0,0,3,0.0,1.0,0.0
1107,Albany NY,2000,2019,5,1,0,4,0.2,0.8,0.0
1108,Alcorn St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1109,Alliant Intl,1985,1991,NA,NA,NA,NA,NA,NA,NA
1110,American Univ,1985,2019,3,0,0,3,0.0,1.0,0.0
1111,Appalachian St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1112,Arizona,1985,2019,14,4,6,4,0.2857142857142857,0.2857142857142857,0.42857142857142855
1113,Arizona St,1985,2019,4,1,0,3,0.25,0.75,0.0
1114,Ark Little Rock,1985,2019,2,1,0,1,0.5,0.5,0.0
1115,Ark Pine Bluff,1999,2019,1,1,0,0,1.0,0.0,0.0
1116,Arkansas,1985,2019,6,1,3,2,0.16666666666666666,0.3333333333333333,0.5
1117,Arkansas St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1118,Armstrong St,1987,1987,NA,NA,NA,NA,NA,NA,NA
1119,Army,1985,2019,NA,NA,NA,NA,NA,NA,NA
1120,Auburn,1985,2019,2,1,1,0,0.5,0.0,0.5
1121,Augusta,1985,1991,NA,NA,NA,NA,NA,NA,NA
1122,Austin Peay,1985,2019,3,0,0,3,0.0,1.0,0.0
1123,Ball St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1124,Baylor,1985,2019,7,3,2,2,0.42857142857142855,0.2857142857142857,0.2857142857142857
1125,Belmont,2000,2019,7,0,0,7,0.0,1.0,0.0
1126,Bethune-Cookman,1985,2019,NA,NA,NA,NA,NA,NA,NA
1127,Binghamton,2002,2019,1,0,0,1,0.0,1.0,0.0
1128,Birmingham So,2003,2006,NA,NA,NA,NA,NA,NA,NA
1129,Boise St,1985,2019,3,0,0,3,0.0,1.0,0.0
1130,Boston College,1985,2019,5,0,2,3,0.0,0.6,0.4
1131,Boston Univ,1985,2019,1,0,0,1,0.0,1.0,0.0
1132,Bowling Green,1985,2019,NA,NA,NA,NA,NA,NA,NA
1133,Bradley,1985,2019,1,1,0,0,1.0,0.0,0.0
1134,Brooklyn,1985,1992,NA,NA,NA,NA,NA,NA,NA
1135,Brown,1985,2019,NA,NA,NA,NA,NA,NA,NA
1136,Bryant,2009,2019,NA,NA,NA,NA,NA,NA,NA
1137,Bucknell,1985,2019,6,2,0,4,0.3333333333333333,0.6666666666666666,0.0
1138,Buffalo,1992,2019,3,1,0,2,0.3333333333333333,0.6666666666666666,0.0
1139,Butler,1985,2019,11,5,0,6,0.45454545454545453,0.5454545454545454,0.0
1140,BYU,1985,2019,10,1,3,6,0.1,0.6,0.3
1141,C Michigan,1985,2019,1,1,0,0,1.0,0.0,0.0
1142,Cal Poly SLO,1995,2019,1,1,0,0,1.0,0.0,0.0
1143,California,1985,2019,7,1,3,3,0.14285714285714285,0.42857142857142855,0.42857142857142855
1144,Campbell,1985,2019,NA,NA,NA,NA,NA,NA,NA
1145,Canisius,1985,2019,NA,NA,NA,NA,NA,NA,NA
1146,Cent Arkansas,2007,2019,NA,NA,NA,NA,NA,NA,NA
1147,Centenary,1985,2011,NA,NA,NA,NA,NA,NA,NA
1148,Central Conn,1987,2019,1,0,0,1,0.0,1.0,0.0
1149,Charleston So,1985,2019,NA,NA,NA,NA,NA,NA,NA
1150,Charlotte,1985,2019,2,0,1,1,0.0,0.5,0.5
1151,Chattanooga,1985,2019,3,0,0,3,0.0,1.0,0.0
1152,Chicago St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1153,Cincinnati,1985,2019,11,1,4,6,0.09090909090909091,0.5454545454545454,0.36363636363636365
1154,Citadel,1985,2019,NA,NA,NA,NA,NA,NA,NA
1155,Clemson,1985,2019,5,1,3,1,0.2,0.2,0.6
1156,Cleveland St,1985,2019,1,1,0,0,1.0,0.0,0.0
1157,Coastal Car,1987,2019,2,0,0,2,0.0,1.0,0.0
1158,Col Charleston,1992,2019,1,0,0,1,0.0,1.0,0.0
1159,Colgate,1985,2019,NA,NA,NA,NA,NA,NA,NA
1160,Colorado,1985,2019,5,1,2,2,0.2,0.4,0.4
1161,Colorado St,1985,2019,3,0,0,3,0.0,1.0,0.0
1162,Columbia,1985,2019,NA,NA,NA,NA,NA,NA,NA
1163,Connecticut,1985,2019,10,4,3,3,0.4,0.3,0.3
1164,Coppin St,1986,2019,1,0,0,1,0.0,1.0,0.0
1165,Cornell,1985,2019,3,1,0,2,0.3333333333333333,0.6666666666666666,0.0
1166,Creighton,1985,2019,8,0,4,4,0.0,0.5,0.5
1167,CS Bakersfield,2008,2019,1,0,0,1,0.0,1.0,0.0
1168,CS Fullerton,1985,2019,2,0,0,2,0.0,1.0,0.0
1169,CS Northridge,1991,2019,1,0,0,1,0.0,1.0,0.0
1170,CS Sacramento,1992,2019,NA,NA,NA,NA,NA,NA,NA
1171,Dartmouth,1985,2019,NA,NA,NA,NA,NA,NA,NA
1172,Davidson,1985,2019,7,1,0,6,0.14285714285714285,0.8571428571428571,0.0
1173,Dayton,1985,2019,7,3,3,1,0.42857142857142855,0.14285714285714285,0.42857142857142855
1174,Delaware,1985,2019,1,0,0,1,0.0,1.0,0.0
1175,Delaware St,1985,2019,1,0,0,1,0.0,1.0,0.0
1176,Denver,1999,2019,NA,NA,NA,NA,NA,NA,NA
1177,DePaul,1985,2019,1,0,0,1,0.0,1.0,0.0
1178,Detroit,1985,2019,1,0,0,1,0.0,1.0,0.0
1179,Drake,1985,2019,1,0,1,0,0.0,0.0,1.0
1180,Drexel,1985,2019,NA,NA,NA,NA,NA,NA,NA
1181,Duke,1985,2019,16,2,9,5,0.125,0.3125,0.5625
1182,Duquesne,1985,2019,NA,NA,NA,NA,NA,NA,NA
1183,E Illinois,1985,2019,NA,NA,NA,NA,NA,NA,NA
1184,E Kentucky,1985,2019,3,0,0,3,0.0,1.0,0.0
1185,E Michigan,1985,2019,NA,NA,NA,NA,NA,NA,NA
1186,E Washington,1985,2019,2,0,0,2,0.0,1.0,0.0
1187,East Carolina,1985,2019,NA,NA,NA,NA,NA,NA,NA
1188,Edwardsville,2009,2019,NA,NA,NA,NA,NA,NA,NA
1189,Elon,2000,2019,NA,NA,NA,NA,NA,NA,NA
1190,ETSU,1985,2019,5,0,0,5,0.0,1.0,0.0
1191,Evansville,1985,2019,NA,NA,NA,NA,NA,NA,NA
1192,F Dickinson,1985,2019,2,0,0,2,0.0,1.0,0.0
1193,Fairfield,1985,2019,NA,NA,NA,NA,NA,NA,NA
1194,FL Atlantic,1994,2019,NA,NA,NA,NA,NA,NA,NA
1195,FL Gulf Coast,2008,2019,3,2,0,1,0.6666666666666666,0.3333333333333333,0.0
1196,Florida,1985,2019,12,5,3,4,0.4166666666666667,0.3333333333333333,0.25
1197,Florida A&M,1985,2019,2,1,0,1,0.5,0.5,0.0
1198,Florida Intl,1988,2019,NA,NA,NA,NA,NA,NA,NA
1199,Florida St,1985,2019,6,2,3,1,0.3333333333333333,0.16666666666666666,0.5
1200,Fordham,1985,2019,NA,NA,NA,NA,NA,NA,NA
1201,Fresno St,1985,2019,1,0,0,1,0.0,1.0,0.0
1202,Furman,1985,2019,NA,NA,NA,NA,NA,NA,NA
1203,G Washington,1985,2019,4,0,0,4,0.0,1.0,0.0
1204,Ga Southern,1985,2019,NA,NA,NA,NA,NA,NA,NA
1205,Gardner Webb,2003,2019,NA,NA,NA,NA,NA,NA,NA
1206,George Mason,1985,2019,3,1,0,2,0.3333333333333333,0.6666666666666666,0.0
1207,Georgetown,1985,2019,8,2,6,0,0.25,0.0,0.75
1208,Georgia,1985,2019,3,0,0,3,0.0,1.0,0.0
1209,Georgia St,1985,2019,2,1,0,1,0.5,0.5,0.0
1210,Georgia Tech,1985,2019,4,2,1,1,0.5,0.25,0.25
1211,Gonzaga,1985,2019,16,4,4,8,0.25,0.5,0.25
1212,Grambling,1985,2019,NA,NA,NA,NA,NA,NA,NA
1213,Grand Canyon,2014,2019,NA,NA,NA,NA,NA,NA,NA
1214,Hampton,1996,2019,4,1,0,3,0.25,0.75,0.0
1215,Hardin-Simmons,1985,1990,NA,NA,NA,NA,NA,NA,NA
1216,Hartford,1985,2019,NA,NA,NA,NA,NA,NA,NA
1217,Harvard,1985,2019,4,2,0,2,0.5,0.5,0.0
1218,Hawaii,1985,2019,1,1,0,0,1.0,0.0,0.0
1219,High Point,2000,2019,NA,NA,NA,NA,NA,NA,NA
1220,Hofstra,1985,2019,NA,NA,NA,NA,NA,NA,NA
1221,Holy Cross,1985,2019,3,1,0,2,0.3333333333333333,0.6666666666666666,0.0
1222,Houston,1985,2019,2,0,0,2,0.0,1.0,0.0
1223,Houston Bap,1985,2019,NA,NA,NA,NA,NA,NA,NA
1224,Howard,1985,2019,NA,NA,NA,NA,NA,NA,NA
1225,Idaho,1985,2019,NA,NA,NA,NA,NA,NA,NA
1226,Idaho St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1227,IL Chicago,1985,2019,1,0,0,1,0.0,1.0,0.0
1228,Illinois,1985,2019,8,2,3,3,0.25,0.375,0.375
1229,Illinois St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1230,Incarnate Word,2014,2019,NA,NA,NA,NA,NA,NA,NA
1231,Indiana,1985,2019,8,0,2,6,0.0,0.75,0.25
1232,Indiana St,1985,2019,1,0,0,1,0.0,1.0,0.0
1233,Iona,1985,2019,6,0,0,6,0.0,1.0,0.0
1234,Iowa,1985,2019,5,0,1,4,0.0,0.8,0.2
1235,Iowa St,1985,2019,7,2,2,3,0.2857142857142857,0.42857142857142855,0.2857142857142857
1236,IPFW,2003,2019,NA,NA,NA,NA,NA,NA,NA
1237,IUPUI,1999,2019,1,0,0,1,0.0,1.0,0.0
1238,Jackson St,1985,2019,1,0,0,1,0.0,1.0,0.0
1239,Jacksonville,1985,2019,NA,NA,NA,NA,NA,NA,NA
1240,Jacksonville St,1996,2019,1,0,0,1,0.0,1.0,0.0
1241,James Madison,1985,2019,1,1,0,0,1.0,0.0,0.0
1242,Kansas,1985,2019,16,4,10,2,0.25,0.125,0.625
1243,Kansas St,1985,2019,8,3,2,3,0.375,0.375,0.25
1244,Kennesaw,2006,2019,NA,NA,NA,NA,NA,NA,NA
1245,Kent,1985,2019,3,0,0,3,0.0,1.0,0.0
1246,Kentucky,1985,2019,14,3,4,7,0.21428571428571427,0.5,0.2857142857142857
1247,La Salle,1985,2019,1,1,0,0,1.0,0.0,0.0
1248,Lafayette,1985,2019,1,0,0,1,0.0,1.0,0.0
1249,Lamar,1985,2019,1,0,0,1,0.0,1.0,0.0
1250,Lehigh,1985,2019,3,1,0,2,0.3333333333333333,0.6666666666666666,0.0
1251,Liberty,1989,2019,2,0,0,2,0.0,1.0,0.0
1252,Lipscomb,2003,2019,1,0,0,1,0.0,1.0,0.0
1253,Long Beach St,1985,2019,2,0,0,2,0.0,1.0,0.0
1254,Long Island,1985,2019,4,0,0,4,0.0,1.0,0.0
1255,Longwood,2005,2019,NA,NA,NA,NA,NA,NA,NA
1256,Louisiana Tech,1985,2019,NA,NA,NA,NA,NA,NA,NA
1257,Louisville,1985,2019,13,5,4,4,0.38461538461538464,0.3076923076923077,0.3076923076923077
1258,Loy Marymount,1985,2019,NA,NA,NA,NA,NA,NA,NA
1259,Loyola MD,1985,2019,1,0,0,1,0.0,1.0,0.0
1260,Loyola-Chicago,1985,2019,1,1,0,0,1.0,0.0,0.0
1261,LSU,1985,2019,5,1,2,2,0.2,0.4,0.4
1262,MA Lowell,2014,2019,NA,NA,NA,NA,NA,NA,NA
1263,Maine,1985,2019,NA,NA,NA,NA,NA,NA,NA
1264,Manhattan,1985,2019,4,1,0,3,0.25,0.75,0.0
1265,Marist,1985,2019,NA,NA,NA,NA,NA,NA,NA
1266,Marquette,1985,2019,10,3,3,4,0.3,0.4,0.3
1267,Marshall,1985,2019,1,1,0,0,1.0,0.0,0.0
1268,Maryland,1985,2019,8,2,5,1,0.25,0.125,0.625
1269,Massachusetts,1985,2019,1,0,1,0,0.0,0.0,1.0
1270,McNeese St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1271,MD E Shore,1985,2019,NA,NA,NA,NA,NA,NA,NA
1272,Memphis,1985,2019,10,1,4,5,0.1,0.5,0.4
1273,Mercer,1985,2019,1,1,0,0,1.0,0.0,0.0
1274,Miami FL,1986,2019,5,0,3,2,0.0,0.4,0.6
1275,Miami OH,1985,2019,1,0,0,1,0.0,1.0,0.0
1276,Michigan,1985,2019,8,5,1,2,0.625,0.25,0.125
1277,Michigan St,1985,2019,16,8,5,3,0.5,0.1875,0.3125
1278,Minnesota,1985,2019,5,1,2,2,0.2,0.4,0.4
1279,Mississippi,1985,2019,2,2,0,0,1.0,0.0,0.0
1280,Mississippi St,1985,2019,5,1,2,2,0.2,0.4,0.4
1281,Missouri,1985,2019,7,2,2,3,0.2857142857142857,0.42857142857142855,0.2857142857142857
1282,Missouri KC,1990,2019,NA,NA,NA,NA,NA,NA,NA
1283,Missouri St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1284,Monmouth NJ,1985,2019,2,1,0,1,0.5,0.5,0.0
1285,Montana,1985,2019,6,1,0,5,0.16666666666666666,0.8333333333333334,0.0
1286,Montana St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1287,Morehead St,1985,2019,2,2,0,0,1.0,0.0,0.0
1288,Morgan St,1985,2019,2,0,0,2,0.0,1.0,0.0
1289,Morris Brown,2002,2003,NA,NA,NA,NA,NA,NA,NA
1290,MS Valley St,1985,2019,2,0,0,2,0.0,1.0,0.0
1291,Mt St Mary's,1989,2019,3,2,0,1,0.6666666666666666,0.3333333333333333,0.0
1292,MTSU,1985,2019,3,2,0,1,0.6666666666666666,0.3333333333333333,0.0
1293,Murray St,1985,2019,5,1,0,4,0.2,0.8,0.0
1294,N Colorado,2005,2019,1,0,0,1,0.0,1.0,0.0
1295,N Dakota St,2006,2019,3,1,0,2,0.3333333333333333,0.6666666666666666,0.0
1296,N Illinois,1985,2019,NA,NA,NA,NA,NA,NA,NA
1297,N Kentucky,2013,2019,1,0,0,1,0.0,1.0,0.0
1298,Navy,1985,2019,NA,NA,NA,NA,NA,NA,NA
1299,NC A&T,1985,2019,1,1,0,0,1.0,0.0,0.0
1300,NC Central,2008,2019,3,0,0,3,0.0,1.0,0.0
1301,NC State,1985,2019,9,5,2,2,0.5555555555555556,0.2222222222222222,0.2222222222222222
1302,NE Illinois,1991,1998,NA,NA,NA,NA,NA,NA,NA
1303,NE Omaha,2012,2019,NA,NA,NA,NA,NA,NA,NA
1304,Nebraska,1985,2019,1,0,0,1,0.0,1.0,0.0
1305,Nevada,1985,2019,6,3,1,2,0.5,0.3333333333333333,0.16666666666666666
1306,New Hampshire,1985,2019,NA,NA,NA,NA,NA,NA,NA
1307,New Mexico,1985,2019,5,0,4,1,0.0,0.2,0.8
1308,New Mexico St,1985,2019,8,0,0,8,0.0,1.0,0.0
1309,New Orleans,1985,2019,1,0,0,1,0.0,1.0,0.0
1310,Niagara,1985,2019,2,1,0,1,0.5,0.5,0.0
1311,Nicholls St,1985,2019,NA,NA,NA,NA,NA,NA,NA
1312,NJIT,2007,2019,NA,NA,NA,NA,NA,NA,NA
1313,Norfolk St,1998,2019,1,1,0,0,1.0,0.0,0.0
1314,North Carolina,1985,2019,14,4,4,6,0.2857142857142857,0.42857142857142855,0.2857142857142857
1315,North Dakota,2009,2019,1,0,0,1,0.0,1.0,0.0
1316,North Florida,2006,2019,1,0,0,1,0.0,1.0,0.0
1317,North Texas,1985,2019,2,0,0,2,0.0,1.0,0.0
1318,Northeastern,1985,2019,1,0,0,1,0.0,1.0,0.0
1319,Northern Arizona,1985,2019,NA,NA,NA,NA,NA,NA,NA
1320,Northern Iowa,1985,2019,7,2,1,4,0.2857142857142857,0.5714285714285714,0.14285714285714285
1321,Northwestern,1985,2019,1,0,0,1,0.0,1.0,0.0
1322,Northwestern LA,1985,2019,2,1,0,1,0.5,0.5,0.0
1323,Notre Dame,1985,2019,10,2,7,1,0.2,0.1,0.7
1324,Oakland,2000,2019,3,1,0,2,0.3333333333333333,0.6666666666666666,0.0
1325,Ohio,1985,2019,3,2,0,1,0.6666666666666666,0.3333333333333333,0.0
1326,Ohio St,1985,2019,10,3,6,1,0.3,0.1,0.6
1327,Okla City,1985,1985,NA,NA,NA,NA,NA,NA,NA
1328,Oklahoma,1985,2019,10,1,4,5,0.1,0.5,0.4
1329,Oklahoma St,1985,2019,9,1,3,5,0.1111111111111111,0.5555555555555556,0.3333333333333333
1330,Old Dominion,1985,2019,4,1,0,3,0.25,0.75,0.0
1331,Oral Roberts,1985,2019,3,0,0,3,0.0,1.0,0.0
1332,Oregon,1985,2019,8,3,2,3,0.375,0.375,0.25
1333,Oregon St,1985,2019,1,0,1,0,0.0,0.0,1.0
1334,Pacific,1985,2019,4,1,0,3,0.25,0.75,0.0
1335,Penn,1985,2019,5,0,0,5,0.0,1.0,0.0
1336,Penn St,1985,2019,1,0,0,1,0.0,1.0,0.0
1337,Pepperdine,1985,2019,NA,NA,NA,NA,NA,NA,NA
1338,Pittsburgh,1985,2019,12,1,7,4,0.08333333333333333,0.3333333333333333,0.5833333333333334
1339,Portland,1985,2019,NA,NA,NA,NA,NA,NA,NA
1340,Portland St,1999,2019,2,0,0,2,0.0,1.0,0.0
1341,Prairie View,1985,2019,NA,NA,NA,NA,NA,NA,NA
1342,Presbyterian,2008,2019,NA,NA,NA,NA,NA,NA,NA
1343,Princeton,1985,2019,3,0,0,3,0.0,1.0,0.0
1344,Providence,1985,2019,6,1,2,3,0.16666666666666666,0.5,0.3333333333333333
1345,Purdue,1985,2019,11,3,3,5,0.2727272727272727,0.45454545454545453,0.2727272727272727
1346,Quinnipiac,1999,2019,NA,NA,NA,NA,NA,NA,NA
